alpha,penalty_ratio,seed,physics,split,rmse,mae,r2,mean_error_min,rmse_bias_removed,pct_over_predictions,mean_over_pred_min,max_over_pred_min,safety_loss_min2
0.9,9.000000000000002,2024,on,test,41.352529457288476,29.21576821801164,0.6958891747585788,-22.185448315056455,34.89752964861366,19.86885245901639,17.691811636974684,242.1874345368779,488.43684101683726
0.9,9.000000000000002,31415,on,test,41.3564600356543,29.270940503007093,0.6958313602425326,-22.317579247648837,34.81784661930696,19.573770491803277,17.76193620506087,228.85698769642076,484.1607424897513
0.9,9.000000000000002,7,on,val,40.53126652123665,29.817637375675062,0.7027058502969536,-23.549302628142353,32.988087418698385,18.563463430632996,16.88352707175551,216.51449249569163,430.0984784771301
0.9,9.000000000000002,42,on,val,39.08136598857771,28.707239982522477,0.7235952619159471,-21.980171670254965,32.314473860474344,19.055428009183338,17.651317800433443,203.53430680774824,413.08161382244924
0.9,9.000000000000002,123,on,val,38.13904023303942,27.035041334804674,0.7367638482921534,-20.456932210008915,32.18851215033865,20.17054772056412,16.306223350814857,204.3232945469887,396.16260498080777
0.9,9.000000000000002,2024,on,val,38.70446476289253,27.53553201002267,0.7289008564555032,-21.528423146157785,32.16461704143183,19.7113807805838,15.23766632772382,199.18411246240242,393.2745328266719
0.9,9.000000000000002,31415,on,val,39.14424065996134,27.805098685418777,0.7227051785570229,-21.921656193080846,32.43011820202527,19.252213840603478,15.279911549521598,209.53115298683198,399.16932917150103
0.95,18.999999999999982,7,on,ood,53.71166852651678,37.08221839695192,-0.08127672628470695,-34.908287886065814,40.8210089631058,6.899810964083176,15.753551236421245,76.883876033006,600.7346360131011
0.95,18.999999999999982,42,on,ood,54.00020446826499,37.49874249422343,-0.0929250401644266,-35.31129012193785,40.85504708770705,6.899810964083176,15.851538423822902,70.15113464042315,605.9691128584889
0.95,18.999999999999982,123,on,ood,51.58620963090475,35.08107741054667,0.0026058765912868598,-33.19096408434316,39.49046628283202,6.899810964083176,13.696848624132265,65.5912484000311,549.6043735090932
0.95,18.999999999999982,2024,on,ood,54.54550520299348,37.81698169532603,-0.11510947212779632,-35.714128712710426,41.227577519686285,7.750472589792061,13.565966192727487,59.84268338895066,613.6600636988203
0.95,18.999999999999982,31415,on,ood,54.33883511555039,37.65104547637584,-0.10667529698536393,-35.61173351266589,41.04282443908851,6.805293005671078,14.98327817781338,57.44683964869559,609.4254699366854
0.95,18.999999999999982,7,on,test,52.184223398934414,39.51062347901581,0.515709254759933,-34.23706051793244,39.38295137291421,13.967213114754099,18.87836506021631,219.65225976879447,646.877588474473
0.95,18.999999999999982,42,on,test,51.5041820966207,38.76643359322633,0.5282491297418157,-33.35997693021188,39.24019256652031,13.672131147540984,19.77181393548453,220.82311370976782,638.4455569109668
0.95,18.999999999999982,123,on,test,49.36803163374667,36.398974948763325,0.5665696248722849,-31.34590001767866,38.13970502602641,14.032786885245901,18.004531004448896,232.93232377883416,590.9846315375512
0.95,18.999999999999982,2024,on,test,52.63857006958596,39.36249080112479,0.5072395007027621,-34.72421433433988,39.56068752983871,12.950819672131148,17.907269903410118,213.36651705292428,644.6793253770571
0.95,18.999999999999982,31415,on,test,51.67594361339853,38.97342119335788,0.5250973951408601,-33.55703822156491,39.29794312850962,14.39344262295082,18.815453375818418,227.6878232608797,638.0881746711915
0.95,18.999999999999982,7,on,val,49.58519951019827,37.68335673592188,0.5550510938607129,-33.21025947193516,36.82079135859125,13.77500819940964,16.236278045113743,180.47203302119425,557.607839721113
0.95,18.999999999999982,42,on,val,49.054316059552626,37.00253333295959,0.564527772013719,-32.46192880069878,36.7770186748307,13.971794030829779,16.249182181764322,187.24641627661595,548.9885891769378
0.95,18.999999999999982,123,on,val,46.836581040812945,34.60277418082189,0.603012910111028,-30.471706732490087,35.568812355795025,14.037389307969828,14.714514777994932,177.18720523291034,497.4473254414917
